Unique_id,Links,Name,Ratings,Price_for_one,Cuisine
0,https://www.zomato.com/bangalore/dominos-pizza-shanti-nagar/order,Domino's Pizza,3.9,200,"Pizza, Italian, Pasta, Fast Food, Desserts"
1,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,Pizza Hut,3.8,200,"Pizza, Fast Food, Desserts, Beverages"
2,https://www.zomato.com/bangalore/mcdonalds-mg-road/order,McDonald's,4,200,"Burger, Fast Food"
3,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,KFC,3.7,200,"Burger, Fast Food, Biryani, Desserts, Beverages"
4,https://www.zomato.com/bangalore/burger-king-commercial-street/order,Burger King,3.9,200,"Burger, Fast Food, Desserts, Beverages"
5,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,Meghana Foods,4.4,200,"Biryani, Andhra, North Indian, Seafood"
6,https://www.zomato.com/bangalore/kanti-sweets-brigade-road/order,Kanti Sweets,4.4,200,"Mithai, Street Food"
7,https://www.zomato.com/bangalore/five-star-chicken-shivajinagar-bangalore/order,Five Star Chicken,3.5,200,"Fast Food, Rolls, Burger"
8,https://www.zomato.com/bangalore/onesta-malleshwaram-bangalore/order,Onesta,3.7,200,"Pizza, Pasta, Sandwich, Fast Food, Desserts, Beverages"
9,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order,A2B - Adyar Ananda Bhavan,4.2,200,"South Indian, Street Food, North Indian, Chinese, Fast Food, Beverages, Desserts"
10,https://www.zomato.com/bangalore/al-bek-malleshwaram/order,Al-Bek,4.1,200,"Mughlai, Arabian, North Indian, Chinese, Seafood"
11,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order,Hari Super Sandwich,3.8,200,"Fast Food, Sandwich, Street Food"
12,https://www.zomato.com/bangalore/polar-bear-1-basavanagudi/order,Polar Bear,4.4,100,"Ice Cream, Beverages, Shake"
13,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,Nandhana Palace,4,100,"Biryani, Andhra, North Indian, Chinese, Mughlai, South Indian, Desserts, Beverages"
14,https://www.zomato.com/bangalore/la-pinoz-pizza-basavanagudi-bangalore/order,La Pino'z Pizza,3.8,100,"Pizza, Italian"
15,https://www.zomato.com/bangalore/corner-house-ice-creams-residency-road-bangalore/order,Corner House Ice Creams,4.5,100,"Ice Cream, Desserts, Shake"
16,https://www.zomato.com/bangalore/goli-vada-pav-no-1-jayanagar-bangalore/order,Goli Vada Pav No. 1,4,100,"Fast Food, Street Food, Maharashtrian, Rolls, Ice Cream"
17,https://www.zomato.com/bangalore/chicking-1-rajajinagar-bangalore/order,Chicking,3.7,100,"Fast Food, Burger, Pizza"
18,https://www.zomato.com/bangalore/thalassery-restaurant-kammanahalli/order,Thalassery Restaurant,4,100,"Kerala, North Indian, Chinese, Lebanese, Biryani, Ice Cream, Beverages"
19,https://www.zomato.com/bangalore/cakezone-koramangala-6th-block-bangalore/order,CakeZone,4.4,100,"Bakery, Ice Cream"
20,https://www.zomato.com/bangalore/kabab-magic-richmond-town-bangalore/order,Kabab Magic,3.6,100,"North Indian, Kebab, Hyderabadi, Mughlai, Chinese, Rolls"
21,https://www.zomato.com/bangalore/wow-momo-church-street-bangalore/order,WOW! Momo,4,100,"Momos, Fast Food, Tibetan"
22,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,Truffles,4.3,100,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts"
23,https://www.zomato.com/bangalore/mojo-pizza-2x-toppings-shanti-nagar-bangalore/order,MOJO Pizza - 2X Toppings,4.4,100,"Pizza, Fast Food, Desserts, Beverages"
24,https://www.zomato.com/bangalore/freshmenu-richmond-road/order,FreshMenu,3.9,250,"Continental, Healthy Food, Fast Food, Burger, Sandwich, Chinese, Pasta, Beverages"
25,https://www.zomato.com/bangalore/anand-sweets-and-savouries-commercial-street-bangalore/order,Anand Sweets And Savouries,4.3,250,"Mithai, Street Food, Beverages, Desserts"
26,https://www.zomato.com/bangalore/easybites-by-empire-brigade-road-bangalore/order,EasyBites by Empire,4.1,250,"Burger, Fast Food, Beverages"
27,https://www.zomato.com/bangalore/nandhini-deluxe-st-marks-road-bangalore/order,Nandhini Deluxe,4,250,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages"
28,https://www.zomato.com/bangalore/ammas-pastries-ulsoor/order,Amma's Pastries,4.2,250,Bakery
29,https://www.zomato.com/bangalore/subway-lavelle-road/order,Subway,3.8,250,"Healthy Food, Sandwich, Wraps, Salad, Fast Food, Beverages"
30,https://www.zomato.com/bangalore/faasos-wraps-rolls-shanti-nagar-bangalore/order,Faasos - Wraps & Rolls,3.8,250,"Rolls, Wraps, Fast Food"
31,https://www.zomato.com/bangalore/big-bite-vijay-nagar/order,Big Bite,4.3,250,"Fast Food, Chinese, Street Food, Burger, Pizza, Beverages, Ice Cream"
32,https://www.zomato.com/bangalore/taco-bell-brigade-road-bangalore/order,Taco Bell,3.8,250,"Mexican, Wraps, Fast Food"
33,https://www.zomato.com/bangalore/eatfit-cunningham-road-bangalore/order,EatFit,4,250,"Healthy Food, North Indian, Pizza, Burger, Pasta, Biryani, Chinese, Beverages"
34,https://www.zomato.com/bangalore/ovenstory-pizza-1-shanti-nagar-bangalore/order,Ovenstory Pizza,4.3,250,"Pizza, Fast Food"
35,https://www.zomato.com/bangalore/nic-ice-creams-frazer-town-bangalore/order,NIC Ice Creams,4.5,250,Ice Cream
36,https://www.zomato.com/bangalore/samosa-party-brigade-road-bangalore/order,Samosa Party,4.5,100,"Street Food, Tea"
37,https://www.zomato.com/bangalore/warmoven-cake-desserts-vasanth-nagar-bangalore/order,WarmOven Cake & Desserts,3.9,100,"Bakery, Desserts, Beverages"
38,https://www.zomato.com/bangalore/sri-udupi-food-hub-majestic-bangalore/order,Sri Udupi Food Hub,4.1,100,"South Indian, North Indian, Chinese, Sandwich, Street Food, Ice Cream, Shake, Beverages"
39,https://www.zomato.com/bangalore/manis-dum-biryani-ulsoor/order,Mani's Dum Biryani,4.1,100,"Biryani, Kebab"
40,https://www.zomato.com/bangalore/kannur-food-point-btm/order,Kannur Food Point,3.7,100,"Kerala, Chinese, South Indian, Arabian, Juices, Beverages, Shake"
41,https://www.zomato.com/bangalore/lassi-shop-1-residency-road-bangalore/order,Lassi Shop,3.1,100,"Fast Food, Burger, Ice Cream, Desserts, Shake, Juices, Beverages"
42,https://www.zomato.com/bangalore/pizza@99-rajajinagar-bangalore/order,Pizza@99,3.2,100,"Pizza, Burger, Fast Food"
43,https://www.zomato.com/bangalore/imperial-restaurant-residency-road/order,Imperial Restaurant,3.9,100,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Desserts, Beverages"
44,https://www.zomato.com/bangalore/beijing-bites-richmond-road/order,Beijing Bites,4.2,100,"Chinese, Asian, Thai, Seafood, Malaysian"
45,https://www.zomato.com/bangalore/kannur-food-kitchen-btm-bangalore/order,Kannur Food Kitchen,3.7,100,"South Indian, Biryani, Chinese, Arabian, Beverages, Shake"
46,https://www.zomato.com/bangalore/chai-point-church-street-bangalore/order,Chai Point,4,100,"Tea, Beverages, Shake, Fast Food, Rolls, Desserts, Coffee"
47,https://www.zomato.com/bangalore/california-burrito-cunningham-road/order,California Burrito,4.1,100,"Mexican, Fast Food, Beverages"
