Unique_id,Links,Name,Ratings,Price_for_one,Cuisine1,cuisine 2,cuisine 3,cuisine 4,cusine 5,cusine 6,cusine 7,cusine 8,Links2,Address,latitude,longitude,category,Dishes,Dishes2,Dishes3,Dishes4,Dishes5,Dishes6,Dishes7,Dishes8,Dishes9,Dishes10,Dishes11,Dishes12,Dishes13,Dishes14,Dishes15,Dishes16,Dishes17,Dishes18,Dishes19,Dishes20,Prices,Prices2,Prices3,Prices4,Prices5,Prices6,Prices7,Prices8,Prices9,Prices10,Prices11,Prices12,Prices13,Prices14,Prices15,Prices16,Prices17,Prices18,Prices19,Prices20,AVG_of_prices,Reviews
1,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,Pizza Hut,3.8,200,Pizza, Fast Food, Desserts, Beverages,,,,,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,Shanti Nagar,12.96232527,77.59910099,"  Recommended (34), NEW Cheesy Momo Mia! (5), One Plus One Medium @649 (2)  ", Margherita Pizza, Classic Veg Combo, Classic Corn, Create Your Flavour Fun Combo - Box Of 2 - Veg Pizza, Margherita Pizza - San Francisco Style, Tandoori Classic Non-Veg Combo, Tandoori Tikka & Onion, Classic Paneer, Capsicum & Onion, Tandoori Mushroom & Sweet Corn, Margherita, Classic Onion Capsicum, Chicken Supreme, Pepsi, Creamy Garlic Breadsticks, Tandoori Classic Veg Combo, Veg Exotica, Veggie Supreme, Garlic Bread Stix, Choco Volcano Cake,208,79,158,169,278,129,129,99,169,79,409,57.14,169,228,379,379,119,129,219,169,187.71,"4,426"
3,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,KFC,3.7,200,Burger, Fast Food, Biryani, Desserts, Beverages,,,,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,Brigade Road,12.97329988,77.60750883,"  Todays Exclusive Dishes (3), Recommended (13), Weekend Deals (4)  ", Chicken Chizza, Chicken Chizza & Choco Lava Combo, Ultimate Savings Bucket, Recommended, Bucket for Two, Peri Peri 5 Leg Pc & 2 Dips, Stay Home Bucket, Peri Peri 10 Strips with Dynamite, Classic Zinger Burger, Mixed Zinger Doubles, Popcorn & Fries bucket, Tandoori Zinger Burger, Hot Chicken Wings -4pc, Chicken Popcorn -Medium, 1 pc Smoky Red Chicken, French Fries -Large, 7UP Can 330 ml, Weekend Deals, House Party Combo - for Many, Biryani combo - for 2,479.05,699.05,599.05,515.24,788.57,639.05,189.52,348.57,319.05,199.05,164.76,164.76,124.76,119.05,57.14,819.05,795.24,719.05,524.76,740,450.24,386
4,https://www.zomato.com/bangalore/burger-king-commercial-street/order,Burger King,3.9,200,Burger, Fast Food, Desserts, Beverages,,,,,https://www.zomato.com/bangalore/burger-king-commercial-street/order,Commercial Street,12.98271712,77.60660548,"  Recommended (36), Rs 129 Deal Of The Day (23), Deal Of The Day @169 (15)  ", Chicken Whopper., Chicken Whopper, Crispy Chicken + Crispy Chicken., Crispy Chicken Burger, Veg Whopper., 2 Med Fries., Crispy Veg Combo, BK Classic Veg + BK Classic Veg., Crispy Chicken + Med Fries., Crispy Chicken Double Patty Burger, 1 Veg Crunchy Volcano + Lite Whopper Jr Veg., Choco Lava Cup, Crispy Veg Burger, Crunchy Chicken Volcano, Double Crispy Veg + Double Crispy Veg., BK Classic Chicken + King Egg Burger., Cheesy Fries, King Fries, Crispy Veg With Cheese + Med Fries., Tikki Twist Burger + Medium Peri Peri Fries.,199,160,90,169,210,219,198,185,129,179,109,70,90,180,179,139,119,195,189,189,159.85,"10,400"
5,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,Meghana Foods,4.4,200,Biryani, Andhra, North Indian, Seafood,,,,,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,Residency Road,12.97310133,77.60923974,"  Todays Exclusive Dishes (3), Recommended (35), Veg Starter (9)  ", Meghana Chicken 555, Chicken Boneless Biryani, Paneer Biryani, Recommended, Aloo Dum Biryani, Chicken Tandoori, Chilly Chicken (Boneless), Chicken Boneless Biryani, Meghana Special Biryani, Paneer Biryani, Spl Veg Biryani, Meghana Chicken 555, Egg Biryani, Mushroom Biryani, Pepper Chicken, Paneer Butter Masala, Chicken Lollypop, Chicken 65, Lemon Chicken, Veg Biryani Rice,295,290,245,285,285,295,299,290,260,295,250,290,285,280,290,290,290,210,295,275,279.7,"23,000"
6,https://www.zomato.com/bangalore/kanti-sweets-brigade-road/order,Kanti Sweets,4.4,200,Mithai, Street Food,,,,,,,https://www.zomato.com/bangalore/kanti-sweets-brigade-road/order,Brigade Road,12.97046862,77.60667756,"  Recommended (5), Ganesha Festival Special (4), Raksha Bandhan Special (1)  ", Kaju Phool, Choco Sticks (200 gms), Dry Fruit Mixture, Malai Peda, Sweet Biscuits, Ganesha Festival Special, Motichur Modhak, Dryfruit Modhak, Puran Puri, Khajjaya, Raksha Bandhan Special, Paneer Ghewar, Sweets, Fry Kaju Roll, Special Mysore Pak, Chocolate Burfi, Coconut Burfi, Horlicks Burfi, Kalakand Burfi, Ghee Laddu,161.02,76.19,72.38,45.71,723.81,723.81,161.91,142.85,87.62,114.29,72.38,64.76,64.76,64.76,64.76,64.76,72.38,72.38,100.95,114,153.29,"2,621"
7,https://www.zomato.com/bangalore/five-star-chicken-shivajinagar-bangalore/order,Five Star Chicken,3.5,200,Fast Food, Rolls, Burger,,,,,,https://www.zomato.com/bangalore/five-star-chicken-shivajinagar-bangalore/order,Shivajinagar,12.98507028,77.60690671,"  Recommended (7), Starters (6), Burgers (3)  ", Chicken Strips [3 Pieces], Cheesy Chicken Shots [6 Pieces], Chicken Fingers [3 Pieces], Chicken Nuggets [4 Pieces], Masala Fries, Chicken Krisper Roll, Chicken Roll, Starters, Masala Fries, Cheesy Chicken Shots [6 Pieces], Chicken Nuggets [4 Pieces], Chicken Fingers [3 Pieces], Chicken Strips [3 Pieces], Cheesy Chicken Sticks, Burgers, Hungry Bird Burger, Crispy Chicken Burger, Tandoori Chicken Burger, Rolls, Chicken Roll,85,60,60,60,105,75,60,85,60,60,90,130,110,70,110,75,85,105,90,0,82.89,72
8,https://www.zomato.com/bangalore/onesta-malleshwaram-bangalore/order,Onesta,3.7,200,Pizza, Pasta, Sandwich, Fast Food, Desserts, Beverages,,,https://www.zomato.com/bangalore/onesta-malleshwaram-bangalore/order,Malleshwaram,12.9915865,77.5705801,"  Pizza Veg Regular (20), Pizza Non-Veg Regular (23), Pizza Veg Medium (20)  ", Onion and Green chilly Pizza, Mushroom Sauce & Onion Pizza, Pesto Sauce & Veggie Pizza, Mexican Veggie Delight Pizza, Corn and Cheese Pizza, Crunchy Onion Pizza, Classic Margherita Pizza, Barbeque Veggie Pizza, Cheese & Mushroom Pizza, Creamy Mushrooms Sauce & Corn Pizza, Farmhouse Pizza, BBQ Paneer Pizza, Basil Pesto Sauce & Paneer Pizza, Double Cheese Margherita Pizza, Peppy Paneer Tikka Pizza, Tangy Tomato Pizza, Tomato & Mushrooms Pizza, Pineapple & Sweetcorn Pizza, Tangy Chaat Pizza, Veggie Lover Pizza,149,149,219,129,129,149,189,219,219,219,239,239,239,239,119,149,159,189,189,229,188,0
9,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order,A2B - Adyar Ananda Bhavan,4.2,200,South Indian, Street Food, North Indian, Chinese, Fast Food, Beverages, Desserts,,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-1-shanti-nagar-bangalore/order,Shanti Nagar,12.9544136,77.5930683,"  Recommended (1), Bakery (1)", Pista Ghee Biscuits 250 Gms- Cookies, Bakery, Pista Ghee Biscuits 250 Gms- Cookies, ,,,,,,,,,,,,,,,,,194.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.92,688
10,https://www.zomato.com/bangalore/al-bek-malleshwaram/order,Al-Bek,4.1,200,Mughlai, Arabian, North Indian, Chinese, Seafood,,,,https://www.zomato.com/bangalore/al-bek-malleshwaram/order,Malleshwaram,12.99435705,77.57158186,"  Recommended (32), Dessert (2), Platters (5)  ", Ghee Rice Combo, Chicken Fried Rice, Chicken Kabab, Chicken Tandoori Kabab, Chicken Shawarma Roll, Biryani Rice Combo, Ghee Rice, Chilli Chicken, Biryani Rice, Chicken Noodles, Mughalai Chicken, Grilled Chicken, Paneer Butter Masala, Egg Masala, Mutton Biryani, Golden Chicken, Chicken Masala, Egg Fried Rice, Boneless Butter Chicken, Fish Kabab,130,165,210,110,229,95,200,155,130,210,240,200,140,315,280,210,110,240,240,210,190.95,"34,200"
11,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order,Hari Super Sandwich,3.8,200,Fast Food, Sandwich, Street Food,,,,,,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order,Brigade Road,12.97059853,77.60662767,"  Recommended (18), Pizza (24), Combos (22)  ", Chicken Nuggets Pizza [7 inches], Peri Peri French Fries, Paneer Tikka Pizza [7 inches], Chicken Sausage Pizza Combo, Chicken Seekh Kebab Pizza Combo, Roasted Chicken Pizza Combo, Herb Chilli Burger Combo, Veg Burger Combo, Spanish Corn Burger Combo, Chicken Nuggets Pizza Combo, Paneer and Onion Pizza [7 inches], Chicken Fries [10 Pieces], Chicken Strips [4 Pieces], Chicken Corn Delight Pizza [7 inches], Veg Mix Pizza [7 inches], Veggies Feast Pizza [7 inches], Veg Supreme Burger Combo, Mushroom Sweet Corn Pizza [7 inches], Pizza, Margherita Pizza [7 inches],82,170,189,189,170,99,120,99,189,155,135,95,175,155,170,125,220,99,99,99,141.7,"1,453"
